"","Ov_coeff","Ov_ic","Pred_sp","Prey_sp","Pred_family","Prey_family","Pred_genus","Prey_genus","mass_ratio","Pred_mass","Predmass_cat","P_hunt","Prey_mass","Preymass_cat","Pred_diet","Prey_diet","Lon","Lat","Lat_abs","Continent","Country","Locality","Label","Samp_dur","N_statioins","Effort","Avg_dist","S_area","Pred_evidence","Hunt_source"
"1",0.57,"0.5-0.6","Bassariscus astutus","Sylvilagus floridanus","Procyonidae","Leporidae","Bassariscus","Sylvilagus",-0.154006450689329,1010.37,"Small","pursuit",1178.595,"Small","Omnivore","Herbivore",-99.176726,19.314318,19.314318,"Central/North America","Mexico","REPSA","Coronel-Arellano_2021",11,11,NA,NA,1693,"Yes","Poglayen-Neuwall, I., & Toweill, D. E. (1988). Bassariscus astutus. Mammalian Species, (327), 1-8."
"2",0.49,"0.02-0.09","Bassariscus astutus","Otospermophilus variegatus","Procyonidae","Sciuridae","Bassariscus","Otospermophilus",0.421251641353146,1010.37,"Small","pursuit",663.03,"Small","Omnivore","Herbivore",-99.176726,19.314318,19.314318,"Central/North America","Mexico","REPSA","Coronel-Arellano_2021",11,11,NA,NA,1693,"Yes","Poglayen-Neuwall, I., & Toweill, D. E. (1988). Bassariscus astutus. Mammalian Species, (327), 1-8."
"3",0.81,"0,66-0,90","Canis aureus","Sus scrofa","Canidae","Suidae","Canis","Sus",-2.50737950564006,11000,"Medium-Large","pursuit",135000,"Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"Yes","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"4",0.45,"0,32-0,59","Canis aureus","Muntiacus muntjak","Canidae","Cervidae","Canis","Muntiacus",-0.47066193524206,11000,"Medium-Large","pursuit",17611.59,"Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"Yes","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"5",0.1,"0,04-0,17","Canis aureus","Macaca mulatta","Canidae","Cercopithecidae","Canis","Macaca",0.508706658238769,11000,"Medium-Large","pursuit",6614,"Medium-Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"No","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"6",0.09,"0,04-0,16","Canis aureus","Macaca leonina","Canidae","Cercopithecidae","Canis","Macaca",0.369301072326408,11000,"Medium-Large","pursuit",7603.39,"Medium-Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"No","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"7",0.72,"0,53-0,86","Canis aureus","Hystrix brachyura","Canidae","Hystricidae","Canis","Hystrix",0.318453731118535,11000,"Medium-Large","pursuit",8000,"Medium-Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"No","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"8",0.8,"0.58-0.88","Canis dingo","Onychogalea fraenata",NA,"Macropodidae",NA,"Onychogalea",NA,NA,"Large","group",5226.025,"Medium-Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_dry","Wang_2012",NA,41,NA,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"9",0.8,"0.68-0.87","Canis dingo","Macropus giganteus",NA,"Macropodidae",NA,"Macropus",NA,NA,"Large","group",41454.945,"Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_dry","Wang_2012",NA,41,NA,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"10",0.85,"0.74-0.87","Canis dingo","Macropus dorsalis",NA,"Macropodidae",NA,"Macropus",NA,NA,"Large","group",11249.96,"Medium-Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_dry","Wang_2012",NA,41,NA,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"11",0.84,"0.61-0.87","Canis dingo","Macropus giganteus",NA,"Macropodidae",NA,"Macropus",NA,NA,"Large","group",41454.945,"Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_wet","Wang_2012",NA,41,NA,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"12",0.59,"0.47-0.70","Canis dingo","Macropus dorsalis",NA,"Macropodidae",NA,"Macropus",NA,NA,"Large","group",11249.96,"Medium-Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_wet","Wang_2012",NA,41,NA,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"13",0.81,"0.58-0.88","Canis dingo","Onychogalea fraenata",NA,"Macropodidae",NA,"Onychogalea",NA,NA,"Large","group",5226.025,"Medium-Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_t","Wang_2012",12,41,4045,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"14",0.81,"0.74-0.87","Canis dingo","Macropus giganteus",NA,"Macropodidae",NA,"Macropus",NA,NA,"Large","group",41454.945,"Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_t","Wang_2012",12,41,4045,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"15",0.79,"0.72-0.83","Canis dingo","Macropus dorsalis",NA,"Macropodidae",NA,"Macropus",NA,NA,"Large","group",11249.96,"Medium-Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_t","Wang_2012",12,41,4045,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"16",0.766,"0.746-0.787","Canis latrans","Sylvilagus dicei","Canidae","Leporidae","Canis","Sylvilagus",2.41577912673349,11050,"Medium-Large","pursuit",986.74,"Small","Omnivore","Herbivore",-83.769733,9.637535,9.637535,"Central/North America","Costa Rica","Bo_General","Botts_2020",109.57,94,59919,"1.5",NA,"Yes","Hirt_2020"
"17",0.738,"0.705-0.767","Canis latrans","Dasypus novemcinctus","Canidae","Dasypodidae","Canis","Dasypus",1.0289655133758,11050,"Medium-Large","pursuit",3949.01,"Small-Medium","Omnivore","Insectivore",-83.769733,9.637535,9.637535,"Central/North America","Costa Rica","Bo_General","Botts_2020",109.57,94,59919,"1.5",NA,"Yes","Hirt_2020"
"18",0.673,"0.63-0.714","Canis latrans","Mazama temama","Canidae","Cervidae","Canis","Mazama",-0.733063787965388,11050,"Medium-Large","pursuit",23000,"Large","Omnivore","Herbivore",-83.769733,9.637535,9.637535,"Central/North America","Costa Rica","Bo_General","Botts_2020",109.57,94,59919,"1.5",NA,"Yes","Hirt_2020"
"19",0.519,"0.475-0.568","Canis latrans","Odocoileus virginianus","Canidae","Cervidae","Canis","Odocoileus",-1.7768678401385,11050,"Medium-Large","pursuit",65320,"Large","Omnivore","Herbivore",-83.769733,9.637535,9.637535,"Central/North America","Costa Rica","Bo_General","Botts_2020",109.57,94,59919,"1.5",NA,"Yes","Hirt_2020 "
"20",0.518,"0.492-0.543","Canis latrans","Pecari tajacu","Canidae","Tayassuidae","Canis","Pecari",-0.617994458180601,11050,"Medium-Large","pursuit",20500,"Large","Omnivore","Herbivore",-83.769733,9.637535,9.637535,"Central/North America","Costa Rica","Bo_General","Botts_2020",109.57,94,59919,"1.5",NA,"Yes","Hirt_2020 "
"21",0.33,NA,"Canis latrans","Odocoileus hemionus","Canidae","Cervidae","Canis","Odocoileus",-1.64062083987079,11050,"Medium-Large","pursuit",57000,"Large","Omnivore","Herbivore",-103.7473611,26.68591667,26.68591667,"Central/North America","Mexico","MVR_all","Duran-Antonio_2020",2.1,30,1830,"1",NA,"Yes","Hirt_2020"
"22",0.686,"0.558-0.816","Canis latrans","Odocoileus virginianus","Canidae","Cervidae","Canis","Odocoileus",-1.7768678401385,11050,"Medium-Large","pursuit",65320,"Large","Omnivore","Herbivore",-82.09933333,36.10566667,36.10566667,"Central/North America","United States","RMHL","Higdon_2019",3,40,1760,"2.312",50,"Yes","Hirt_2020"
"23",0.317,"0.176-0.491","Canis latrans","Odocoileus virginianus","Canidae","Cervidae","Canis","Odocoileus",-1.7768678401385,11050,"Medium-Large","pursuit",65320,"Large","Omnivore","Herbivore",-82.09933333,36.10566667,36.10566667,"Central/North America","United States","RMHL","Higdon_2019",3,40,1760,"2.312",50,"Yes","Hirt_2020"
"24",0.729,"0.629-0.890","Canis latrans","Odocoileus virginianus","Canidae","Cervidae","Canis","Odocoileus",-1.7768678401385,11050,"Medium-Large","pursuit",65320,"Large","Omnivore","Herbivore",-82.09933333,36.10566667,36.10566667,"Central/North America","United States","RMHL","Higdon_2019",3,40,1760,"2.312",50,"Yes","Hirt_2020"
"25",0.45,"0.34-0.55","Canis latrans","Sciurus aberti","Canidae","Sciuridae","Canis","Sciurus",2.87403533857647,11050,"Medium-Large","pursuit",624,"Small","Omnivore","Herbivore",-105.0182,23.5684,23.5684,"Central/North America","Mexico","Durango","Rodriguez-Maturino_2020",10,35,303,"1.3",NA,"Yes","Hirt_2020"
"26",0.59,"0.44-0.73","Canis latrans","Sylvilagus floridanus","Canidae","Leporidae","Canis","Sylvilagus",2.23810737687248,11050,"Medium-Large","pursuit",1178.595,"Small","Omnivore","Herbivore",-105.0182,23.5684,23.5684,"Central/North America","Mexico","Durango","Rodriguez-Maturino_2020",10,35,303,"1.3",NA,"Yes","Hirt_2020"
"27",0.35,NA,"Canis latrans","Dasypus novemcinctus","Canidae","Dasypodidae","Canis","Dasypus",1.0289655133758,11050,"Medium-Large","pursuit",3949.01,"Small-Medium","Omnivore","Insectivore",-97.034183,18.941667,18.941667,"Central/North America","Mexico","Pico_de_Orizaba_National_Park_Global","Serna-Lagunes_2019",12,14,5110,NA,197.56,"Yes","Hirt_2020"
"28",0.36,NA,"Canis latrans","Dasypus novemcinctus","Canidae","Dasypodidae","Canis","Dasypus",1.0289655133758,11050,"Medium-Large","pursuit",3949.01,"Small-Medium","Omnivore","Insectivore",-97.034183,18.941667,18.941667,"Central/North America","Mexico","Pico_de_Orizaba_National_Park_Rain","Serna-Lagunes_2019",NA,NA,NA,NA,197.56,"Yes","Hirt_2020"
"29",0.79,NA,"Canis latrans","Lepus californicus","Canidae","Leporidae","Canis","Lepus",1.56215718251352,11050,"Medium-Large","pursuit",2317,"Small-Medium","Omnivore","Herbivore",-103.7473611,26.68591667,26.68591667,"Central/North America","Mexico","MVR_all","Duran-Antonio_2020",2.1,30,1830,"1",NA,"Yes","Hirt_2020"
"30",0.69,"0,59-0,79","Canis lupus","Capra sibirica","Canidae","Bovidae","Canis","Capra",-1.03894624378684,29190.755,"Large","group",82500,"Large","Carnivore","Herbivore",90.72,48.21,48.21,"Asia","Mongolia","Sa_general","Salvatori_2021",11.6,216,14267.5,NA,3186,"Yes","Hirt_2020"
"31",0.71,"0.67-0.75","Canis lupus","Capreolus capreolus","Canidae","Cervidae","Canis","Capreolus",0.298076222172782,29190.755,"Large","group",21666.685,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park","Mori_2019",NA,46,12297,"1.5",NA,"Yes","Hirt_2020"
"32",0.83,"0.78-0.88","Canis lupus","Capreolus capreolus","Canidae","Cervidae","Canis","Capreolus",0.298076222172782,29190.755,"Large","group",21666.685,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park","Mori_2019",NA,46,12297,"1.5",NA,"Yes","Hirt_2020"
"33",0.88,"0.85-0.96","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park","Mori_2019",NA,46,12297,"1.5",NA,"Yes","Hirt_2020"
"34",0.64,NA,"Canis lupus","Capreolus capreolus","Canidae","Cervidae","Canis","Capreolus",0.298076222172782,29190.755,"Large","group",21666.685,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada1","Mori_2019",NA,42,12297,"1.5",NA,"Yes","Hirt_2020"
"35",0.76,NA,"Canis lupus","Cervus elaphus","Canidae","Cervidae","Canis","Cervus",-1.70236287978261,29190.755,"Large","group",160166.665,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada1","Mori_2019",NA,42,12297,"1.5",NA,"Yes","Hirt_2020"
"36",0.77,NA,"Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada1","Mori_2019",NA,42,12297,"1.5",NA,"Yes","Hirt_2020"
"37",0.74,NA,"Canis lupus","Capreolus capreolus","Canidae","Cervidae","Canis","Capreolus",0.298076222172782,29190.755,"Large","group",21666.685,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada2","Mori_2019",NA,43,12297,"1.5",NA,"Yes","Hirt_2020"
"38",0.64,NA,"Canis lupus","Cervus elaphus","Canidae","Cervidae","Canis","Cervus",-1.70236287978261,29190.755,"Large","group",160166.665,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada2","Mori_2019",NA,43,12297,"1.5",NA,"Yes","Hirt_2020"
"39",0.87,NA,"Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada2","Mori_2019",NA,43,12297,"1.5",NA,"Yes","Hirt_2020"
"40",0.71,NA,"Canis lupus","Capreolus capreolus","Canidae","Cervidae","Canis","Capreolus",0.298076222172782,29190.755,"Large","group",21666.685,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada3","Mori_2019",NA,44,12297,"1.5",NA,"Yes","Hirt_2020"
"41",0.84,NA,"Canis lupus","Cervus elaphus","Canidae","Cervidae","Canis","Cervus",-1.70236287978261,29190.755,"Large","group",160166.665,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada3","Mori_2019",NA,44,12297,"1.5",NA,"Yes","Hirt_2020"
"42",0.86,NA,"Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada3","Mori_2019",NA,44,12297,"1.5",NA,"Yes","Hirt_2020"
"43",0.6,NA,"Canis lupus","Capreolus capreolus","Canidae","Cervidae","Canis","Capreolus",0.298076222172782,29190.755,"Large","group",21666.685,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada4","Mori_2019",NA,45,12297,"1.5",NA,"Yes","Hirt_2020"
"44",0.85,NA,"Canis lupus","Cervus elaphus","Canidae","Cervidae","Canis","Cervus",-1.70236287978261,29190.755,"Large","group",160166.665,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada4","Mori_2019",NA,45,12297,"1.5",NA,"Yes","Hirt_2020"
"45",0.88,NA,"Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada4","Mori_2019",NA,45,12297,"1.5",NA,"Yes","Hirt_2020"
"46",0.89,"0,84-0,93","Canis lupus","Alces alces","Canidae","Cervidae","Canis","Alces",-2.51155729621368,29190.755,"Large","group",359750,"Large","Carnivore","Herbivore",32.871657,56.509163,56.509163,"Europe","Russia","CFSNBR","Ogurstov_2018",95,21,30158,"1.2",54.5,"Yes","Hirt_2020"
"47",0.78,"0,71-0,84","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",32.871657,56.509163,56.509163,"Europe","Russia","CFSNBR","Ogurstov_2018",95,21,30158,"1.2",54.5,"Yes","Hirt_2020"
"48",0.72,"0.67-0.80","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_Yearhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"49",0.74,"0.67-0.83","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_Yearlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"50",0.71,"0.68-0.81","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_colderhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"51",0.75,"0.7-0.89","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_colderlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"52",0.78,"0.73-0.93","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_warmerhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"53",0.71,"0.64-0.89","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_warmerlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"54",0.57,"0.54-0.64","Canis lupus","Dama dama","Canidae","Cervidae","Canis","Dama",-0.778954876921203,29190.755,"Large","group",63612.305,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_Yearhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"55",0.71,"0.66-0.82","Canis lupus","Dama dama","Canidae","Cervidae","Canis","Dama",-0.778954876921203,29190.755,"Large","group",63612.305,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_Yearlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"56",0.58,"0.55-0.67","Canis lupus","Dama dama","Canidae","Cervidae","Canis","Dama",-0.778954876921203,29190.755,"Large","group",63612.305,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_colderhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"57",0.76,"0.72-0.88","Canis lupus","Dama dama","Canidae","Cervidae","Canis","Dama",-0.778954876921203,29190.755,"Large","group",63612.305,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_colderlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"58",0.61,"0.51-0.70","Canis lupus","Dama dama","Canidae","Cervidae","Canis","Dama",-0.778954876921203,29190.755,"Large","group",63612.305,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_warmerhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"59",0.66,"0.6-0.87","Canis lupus","Dama dama","Canidae","Cervidae","Canis","Dama",-0.778954876921203,29190.755,"Large","group",63612.305,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_warmerlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"60",0.76,"0.71-0.85","Canis lupus","Hystrix cristata","Canidae","Hystricidae","Canis","Hystrix",0.420679477375128,29190.755,"Large","group",19166.665,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_Yearhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"61",0.69,"0.59-0.78","Canis lupus","Hystrix cristata","Canidae","Hystricidae","Canis","Hystrix",0.420679477375128,29190.755,"Large","group",19166.665,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_Yearlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"62",0.79,"0.74-0.92","Canis lupus","Hystrix cristata","Canidae","Hystricidae","Canis","Hystrix",0.420679477375128,29190.755,"Large","group",19166.665,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_colderhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"63",0.7,"0.65-0.86","Canis lupus","Hystrix cristata","Canidae","Hystricidae","Canis","Hystrix",0.420679477375128,29190.755,"Large","group",19166.665,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_colderlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"64",0.69,"0.64-0.84","Canis lupus","Hystrix cristata","Canidae","Hystricidae","Canis","Hystrix",0.420679477375128,29190.755,"Large","group",19166.665,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_warmerhw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"65",0.61,"0.53-0.83","Canis lupus","Hystrix cristata","Canidae","Hystricidae","Canis","Hystrix",0.420679477375128,29190.755,"Large","group",19166.665,"Large","Carnivore","Herbivore",11.083333,42.649722,42.649722,"Europe","Italy","MRP_warmerlw","Rossa_2021",NA,NA,NA,NA,90,"Yes","Hirt_2020"
"66",0.47,"0.20-0.57","Canis lupus","Rupicapra rupicapra","Canidae","Bovidae","Canis","Rupicapra",-0.192384375117535,29190.755,"Large","group",35383.175,"Large","Carnivore","Herbivore",15.001111,44.965278,44.965278,"Europe","Croatia","Northern Velebit National Park","Sprem_2015",6,15,184,NA,NA,"Yes","Hirt_2020"
"67",0.66,"0,54-0,77","Canis lupus","Capreolus capreolus","Canidae","Cervidae","Canis","Capreolus",0.298076222172782,29190.755,"Large","group",21666.685,"Large","Carnivore","Herbivore",7.129824,44.438313,44.438313,"Europe","Italy","Ligurian_Alps_Denning","Torretta_2017",21,70,1331,"11.9",2155,"Yes","Hirt_2020"
"68",0.77,"0,53-0,76","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",7.129824,44.438313,44.438313,"Europe","Italy","Ligurian_Alps_Denning","Torretta_2017",21,70,1331,"11.9",2155,"Yes","Hirt_2020"
"69",0.82,"0,53-0,76","Canis lupus","Dama dama","Canidae","Cervidae","Canis","Dama",-0.778954876921203,29190.755,"Large","group",63612.305,"Large","Carnivore","Herbivore",7.129824,44.438313,44.438313,"Europe","Italy","Ligurian_Alps_Denning","Torretta_2017",21,70,1331,"11.9",2155,"Yes","Hirt_2020"
"70",0.26,"0,51-0,81","Canis lupus","Rupicapra rupicapra","Canidae","Bovidae","Canis","Rupicapra",-0.192384375117535,29190.755,"Large","group",35383.175,"Large","Carnivore","Herbivore",7.129824,44.438313,44.438313,"Europe","Italy","Ligurian_Alps_Denning","Torretta_2017",21,70,1331,"11.9",2155,"Yes","Hirt_2020"
"71",0.71,"0,46-0,82","Canis lupus","Capreolus capreolus","Canidae","Cervidae","Canis","Capreolus",0.298076222172782,29190.755,"Large","group",21666.685,"Large","Carnivore","Herbivore",7.129824,44.438313,44.438313,"Europe","Italy","Ligurian_Alps_Non_Denning","Torretta_2017",21,70,1331,"11.9",2155,"Yes","Hirt_2020"
"72",0.8,"0,52-0,76","Canis lupus","Sus scrofa","Canidae","Suidae","Canis","Sus",-1.53142272888463,29190.755,"Large","group",135000,"Large","Carnivore","Herbivore",7.129824,44.438313,44.438313,"Europe","Italy","Ligurian_Alps_Non_Denning","Torretta_2017",21,70,1331,"11.9",2155,"Yes","Hirt_2020"
"73",0.58,"0,44-0,85","Canis lupus","Dama dama","Canidae","Cervidae","Canis","Dama",-0.778954876921203,29190.755,"Large","group",63612.305,"Large","Carnivore","Herbivore",7.129824,44.438313,44.438313,"Europe","Italy","Ligurian_Alps_Non_Denning","Torretta_2017",21,70,1331,"11.9",2155,"Yes","Hirt_2020"
"74",0.88,"0.85-0.91","Canis lupus","Lepus europaeus","Canidae","Leporidae","Canis","Lepus",2.07275344193857,29190.755,"Large","group",3673.33,"Small-Medium","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park","Mori_2019",NA,46,12297,"1.5",NA,"Yes","Hirt_2020"
"75",0.88,NA,"Canis lupus","Lepus europaeus","Canidae","Leporidae","Canis","Lepus",2.07275344193857,29190.755,"Large","group",3673.33,"Small-Medium","Carnivore","Herbivore",16.140592,39.921855,39.921855,"Europe","Italy","Pollino National Park_temporada1","Mori_2019",NA,42,12297,"1.5",NA,"Yes","Hirt_2020"
