"","Ov_coeff","Ov_ic","Pred_sp","Prey_sp","Pred_family","Prey_family","Pred_genus","Prey_genus","mass_ratio","Pred_mass","Predmass_cat","P_hunt","Prey_mass","Preymass_cat","Pred_diet","Prey_diet","Lon","Lat","Lat_abs","Continent","Country","Locality","Label","Samp_dur","N_statioins","Effort","Avg_dist","S_area","Pred_evidence","Hunt_source"
"270",0.56,"0.52-0.74","Martes foina","Lepus tolai","Mustelidae","Leporidae","Martes","Lepus",-0.201044689688714,1700,"Small","pursuit",2078.555,"Small-Medium","Omnivore","Herbivore",105.991667,46.991389,46.991389,"Asia","Mongolia","Bayan_Onjuul_district","Mori_2021",3,16,1149,"2.05",50,"Yes","Bakaloudis, D. E., Vlachos, C. G., Papakosta, M. A., Bontzorlos, V. A., & Chatzinikos, E. N. (2012). Diet composition and feeding strategies of the stone marten (Martes foina) in a typical Mediterranean ecosystem. The Scientific World Journal, 2012."
"271",0.59,"0,51-0,75","Martes martes","Lepus europaeus","Mustelidae","Leporidae","Martes","Lepus",-1.03873818930898,1299.995,"Small","pursuit",3673.33,"Small-Medium","Omnivore","Herbivore",10.989,43.083,43.083,"Europe","Italy","Southern Tuscany","Viviano_2021",24,20,2824,"0.7",13.5,"Yes","Goszczynski_2006_Patterns of winter locomotion and foraging in two
sympatric marten species: Martes martes and
Martes foina"
"272",0.42,"0.27-0.45","Meles meles","Oryctolagus cuniculus","Mustelidae","Leporidae","Meles","Oryctolagus",1.83334159582734,11884.03,"Medium-Large","pursuit",1900,"Small","Omnivore","Herbivore",-4.08,39.08,39.08,"Europe","Spain","Picon_unfenced","Descalzo_2021",6,8,1176,"0.3",NA,"Yes","Martin_1995_Local feeding specialization by badgers (Meles meles) in a mediterranean environment"
"273",0.62,"0.44-0.79","Meles meles","Oryctolagus cuniculus","Mustelidae","Leporidae","Meles","Oryctolagus",1.83334159582734,11884.03,"Medium-Large","pursuit",1900,"Small","Omnivore","Herbivore",-6.533889,37.016667,37.016667,"Europe","Spain","RBD_SABCOL","Ferreiro-Arias_2021",1.2,35,2810.5,"0.048",0.01,"Yes","Mart<ed>n_1995_Local feeding specialization by badgers (Meles meles) in a mediterranean environment"
"274",0.24,"0.11-0.26","Meles meles","Oryctolagus cuniculus","Mustelidae","Leporidae","Meles","Oryctolagus",1.83334159582734,11884.03,"Medium-Large","pursuit",1900,"Small","Omnivore","Herbivore",-7.6676,37.6424,37.6424,"Europe","Portugal","GVNP_NB","Monterroso_2014",NA,NA,NA,"1.4",NA,"Yes","Mart<ed>n_1995_Local feeding specialization by badgers (Meles meles) in a mediterranean environment"
"275",0.51,"0.34-0.60","Mustela erminea","Alticola semicanus","Mustelidae","Cricetidae","Mustela","Alticola",1.1199569363161,110.33,"Small","pursuit",36,"Small","Carnivore","Herbivore",101.4,47.2,47.2,"Asia","Mongolia","Khanagai_Nuruu_National_Park","Mori_2021",3,35,2778,"2.05",60,"Yes","Raymond_1990_Prey-dependent profitability of foraging behaviour of male and female ermine, Mustela erminea"
"276",0.49,"0.36-0.69","Mustela erminea","Ochotona alpina","Mustelidae","Ochotonidae","Mustela","Ochotona",-0.307159419324041,110.33,"Small","pursuit",150,"Small","Carnivore","Herbivore",101.4,47.2,47.2,"Asia","Mongolia","Khanagai_Nuruu_National_Park","Mori_2021",3,35,2778,"2.05",60,"Yes","Raymond_1990_Prey-dependent profitability of foraging behaviour of male and female ermine, Mustela erminea"
"277",0.55,"0.55-0.70","Mustela erminea","Sciurus vulgaris","Mustelidae","Sciuridae","Mustela","Sciurus",-1.09220186458824,110.33,"Small","pursuit",328.875,"Small","Carnivore","Herbivore",101.4,47.2,47.2,"Asia","Mongolia","Khanagai_Nuruu_National_Park","Mori_2021",3,35,2778,"2.05",60,"Yes","Raymond_1990_Prey-dependent profitability of foraging behaviour of male and female ermine, Mustela erminea"
"278",0.49,"0.34-0.69","Mustela erminea","Lepus tolai","Mustelidae","Leporidae","Mustela","Lepus",-2.93595234496081,110.33,"Small","pursuit",2078.555,"Small-Medium","Carnivore","Herbivore",101.4,47.2,47.2,"Asia","Mongolia","Khanagai_Nuruu_National_Park","Mori_2021",3,35,2778,"2.05",60,"Yes","Raymond_1990_Prey-dependent profitability of foraging behaviour of male and female ermine, Mustela erminea"
"279",0.12,"0.06-0.2","Nasua nasua","Dasypus novemcinctus","Procyonidae","Dasypodidae","Nasua","Dasypus",0.0128294465319297,4000,"Small-Medium","pursuit",3949.01,"Small-Medium","Omnivore","Insectivore",-75.4,5.0167,5.0167,"South America","Colombia","CHEC_AF","Ramirez-Mejia_2016",5,4,752,"0.025",NA,"No","Hirsch, B. T. (2009). Seasonal variation in the diet of ring-tailed coatis (Nasua nasua) in Iguazu, Argentina. Journal of Mammalogy, 90(1), 136-143."
