;SIF;SIF_ic;D_competitor;S_competitor;D_family;S_family;D_genus;S_genus;p_distance;mass_ratio;D_mass;S_mass;D_diet;S_diet;diet_dist;Lon;Lat;Lat_abs;Continent;Country;Locality;Label;Samp_dur;N_statioins;Effort;Avg_dist;S_area
72;1;NA;Canis latrans;Urocyon cinereoargenteus;Canidae;Canidae;Canis;Urocyon;0.14226082;0.9625953;11050;4220;Omnivore;Omnivore;Same_diet;-110.7523;32.924;32.924;Central/North America;United States;Southeast Arizona;Herzog_2021;13;18;7692;1;NA
73;0.662;0.074;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;84.333333;27.5;27.5;Asia;Nepal;CNP;Kafley_2019;17;361;NA;2;362
74;1.13;0.08;Panthera pardus;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19429812;1.214865548;53074.995;15750;Carnivore;Carnivore;Same_diet;76.38243;11.790398;11.790398;Asia;India;Bandipur;Karanth_2017;1;180;5381;1.53;503.77
75;1.03;0.1;Panthera pardus;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19429812;1.214865548;53074.995;15750;Carnivore;Carnivore;Same_diet;75.6304;13.431185;13.431185;Asia;India;Bhadra;Karanth_2017;1;122;3629;1.59;571.88
76;1.06;0.17;Panthera pardus;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19429812;1.214865548;53074.995;15750;Carnivore;Carnivore;Same_diet;77.1585;11.938668;11.938668;Asia;India;Biligiri;Karanth_2017;1;99;2966;1.55;351.7
77;1.07;0.09;Panthera pardus;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19429812;1.214865548;53074.995;15750;Carnivore;Carnivore;Same_diet;76.1585;12.020122;12.020122;Asia;India;Nagarahole;Karanth_2017;1;161;4760;1.7;647.77
78;1.03;0.05;Panthera tigris;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19509586;2.101420448;128800;15750;Carnivore;Carnivore;Same_diet;76.38243;11.790398;11.790398;Asia;India;Bandipur;Karanth_2017;1;180;5381;1.53;503.77
79;1.14;0.25;Panthera tigris;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19509586;2.101420448;128800;15750;Carnivore;Carnivore;Same_diet;75.6304;13.431185;13.431185;Asia;India;Bhadra;Karanth_2017;1;122;3629;1.59;571.88
80;1.13;0.08;Panthera tigris;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19509586;2.101420448;128800;15750;Carnivore;Carnivore;Same_diet;77.1585;11.938668;11.938668;Asia;India;Biligiri;Karanth_2017;1;99;2966;1.55;351.7
81;0.99;0.07;Panthera tigris;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19509586;2.101420448;128800;15750;Carnivore;Carnivore;Same_diet;76.1585;12.020122;12.020122;Asia;India;Nagarahole;Karanth_2017;1;161;4760;1.7;647.77
82;1.1;0.05;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;76.38243;11.790398;11.790398;Asia;India;Bandipur;Karanth_2017;1;180;5381;1.53;503.77
83;1.14;0.07;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;75.6304;13.431185;13.431185;Asia;India;Bhadra;Karanth_2017;1;122;3629;1.59;571.88
84;0.97;0.1;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;77.1585;11.938668;11.938668;Asia;India;Biligiri;Karanth_2017;1;99;2966;1.55;351.7
85;1.08;0.04;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;76.1585;12.020122;12.020122;Asia;India;Nagarahole;Karanth_2017;1;161;4760;1.7;647.77
86;1;NA;Martes pennanti;Martes americana;Mustelidae;Mustelidae;Martes;Martes;0.11111986;1.269596779;3175;892;Carnivore;Omnivore;Diff_diet;-134.769846;58.512993;58.512993;Central/North America;United States;Juneau Alaska_all stations;Kupferman_2021;3.12;25;4750;10.6;200
87;0.67;0.45-0.89;Martes americana;Mustela erminea;Mustelidae;Mustelidae;Martes;Mustela;0.12357269;2.089990258;892;110.33;Omnivore;Carnivore;Diff_diet;-134.769846;58.512993;58.512993;Central/North America;United States;Juneau Alaska_all stations;Kupferman_2021;3.12;25;4750;10.6;200
88;1.07;0.03;Canis latrans;Mephitis mephitis;Canidae;Mephitidae;Canis;Mephitis;0.18956859;1.320626953;11050;2949.995;Omnivore;Omnivore;Same_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
89;0.98;0.06;Lynx rufus;Mephitis mephitis;Felidae;Mephitidae;Lynx;Mephitis;0.19226791;1.158906214;9400;2949.995;Carnivore;Omnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
90;1.22;0.1;Urocyon cinereoargenteus;Mephitis mephitis;Canidae;Mephitidae;Urocyon;Mephitis;0.20027289;0.358031653;4220;2949.995;Omnivore;Omnivore;Same_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
91;1.12;0.12;Vulpes vulpes;Mephitis mephitis;Canidae;Mephitidae;Vulpes;Mephitis;0.19313152;0.943749301;7580.3;2949.995;Carnivore;Omnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
92;1;0.05;Canis latrans;Urocyon cinereoargenteus;Canidae;Canidae;Canis;Urocyon;0.14226082;0.9625953;11050;4220;Omnivore;Omnivore;Same_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
93;1.02;0.1;Lynx rufus;Urocyon cinereoargenteus;Felidae;Canidae;Lynx;Urocyon;0.18894577;0.800874561;9400;4220;Carnivore;Omnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
94;1.23;0.2;Vulpes vulpes;Urocyon cinereoargenteus;Canidae;Canidae;Vulpes;Urocyon;0.14454992;0.585717649;7580.3;4220;Carnivore;Omnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
95;1.02;0.06;Canis latrans;Vulpes vulpes;Canidae;Canidae;Canis;Vulpes;0.13633609;0.376877651;11050;7580.3;Omnivore;Carnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
96;0.8;0.11;Lynx rufus;Vulpes vulpes;Felidae;Canidae;Lynx;Vulpes;0.18086368;0.215156913;9400;7580.3;Carnivore;Carnivore;Same_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Cluster;Lesmeister_2015;0.69;357;29988;2;16058
97;1.68;0.07;Canis latrans;Mephitis mephitis;Canidae;Mephitidae;Canis;Mephitis;0.18956859;1.320626953;11050;2949.995;Omnivore;Omnivore;Same_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
98;1.1;0.12;Lynx rufus;Mephitis mephitis;Felidae;Mephitidae;Lynx;Mephitis;0.19226791;1.158906214;9400;2949.995;Carnivore;Omnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
99;1.41;0.18;Urocyon cinereoargenteus;Mephitis mephitis;Canidae;Mephitidae;Urocyon;Mephitis;0.20027289;0.358031653;4220;2949.995;Omnivore;Omnivore;Same_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
100;1.77;0.22;Vulpes vulpes;Mephitis mephitis;Canidae;Mephitidae;Vulpes;Mephitis;0.19313152;0.943749301;7580.3;2949.995;Carnivore;Omnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
