;SIF;SIF_ic;D_competitor;S_competitor;D_family;S_family;D_genus;S_genus;p_distance;mass_ratio;D_mass;S_mass;D_diet;S_diet;diet_dist;Lon;Lat;Lat_abs;Continent;Country;Locality;Label;Samp_dur;N_statioins;Effort;Avg_dist;S_area
145;1;NA;Ursus thibetanus;Helarctos malayanus;Ursidae;Ursidae;Ursus;Helarctos;0.07503514;0.773666597;99714.19;46000;Omnivore;Omnivore;Same_diet;98.551716;9.015703;9.015703;Asia;Thailand;Khlong Saeng-Khao Sok;Ngoprasert_2022;11;40;5431;4;462
146;1.01;NA;Ursus thibetanus;Helarctos malayanus;Ursidae;Ursidae;Ursus;Helarctos;0.07503514;0.773666597;99714.19;46000;Omnivore;Omnivore;Same_diet;102.182381;14.245909;14.245909;Asia;Thailand;Thap Lan National Park;Ngoprasert_2022;16;45;8449;4;505
147;1;1;Puma concolor;Lycalopex culpaeus;Felidae;Canidae;Puma;Lycalopex;NA;1.306251653;48000;13000;Carnivore;Carnivore;Same_diet;-70.41596;-34.43575;34.43575;South America;Chile;AMR_Fall-Winter;Osorio_2020;4;50;4550;1.25;678.31
148;1;1;Puma concolor;Lycalopex culpaeus;Felidae;Canidae;Puma;Lycalopex;NA;1.306251653;48000;13000;Carnivore;Carnivore;Same_diet;-70.41596;-34.43575;34.43575;South America;Chile;AMR_Spring-Summer;Osorio_2020;4;50;4550;1.25;678.31
149;1;1;Panthera pardus;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19429812;1.214865548;53074.995;15750;Carnivore;Carnivore;Same_diet;99.216175;15.941935;15.941935;Asia;Thailand;MW_KL;Phumanee_2021;10;82;NA;3.3;1048
150;2.045;1,576-2,514;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;99.216175;15.941935;15.941935;Asia;Thailand;MW_KL;Phumanee_2021;10;82;NA;3.3;1048
151;1.65;0.92-2.40;Panthera pardus;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19429812;1.214865548;53074.995;15750;Carnivore;Carnivore;Same_diet;114.387611;-7.4164528;7.4164528;Asia;Indonesia;Baluran National Park (BNP);Pudyatmoko_2019;1.5;23;1050;1.4;250
152;1.27;NA;Crocuta crocuta;Genetta tigrina;Hyaenidae;Viverridae;Crocuta;Genetta;NA;3.577820917;63000;1760;Carnivore;Carnivore;Same_diet;32.4;-27.52;27.52;Africa;South Africa;KZN_all;Ramesh_2017;0.78;184;4920;1.5;1101.17
153;1.48;NA;Panthera pardus;Genetta tigrina;Felidae;Viverridae;Panthera;Genetta;NA;3.406392104;53074.995;1760;Carnivore;Carnivore;Same_diet;32.4;-27.52;27.52;Africa;South Africa;KZN_all;Ramesh_2017;0.78;184;4920;1.5;1101.17
154;0.25;NA;Crocuta crocuta;Panthera pardus;Hyaenidae;Felidae;Crocuta;Panthera;0.16410206;0.171428813;63000;53074.995;Carnivore;Carnivore;Same_diet;32.4;-27.52;27.52;Africa;South Africa;KZN_all;Ramesh_2017;0.78;184;4920;1.5;1101.17
155;1;NA;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;101.5;5.78;5.78;Asia;Thailand;Royal Belum State Park (RBSP);Rayan_2016;9;175;17758;1;400
156;0.6;NA;Panthera tigris;Cuon alpinus;Felidae;Canidae;Panthera;Cuon;0.19509586;2.101420448;128800;15750;Carnivore;Carnivore;Same_diet;101.52;5.49;5.49;Asia;Thailand;Temengor Forest Reserve (TFR);Rayan_2016;9;175;15969;1;400
157;0.85;NA;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;101.52;5.49;5.49;Asia;Thailand;Temengor Forest Reserve (TFR);Rayan_2016;9;175;15969;1;400
158;0.924;0.008;Canis latrans;Vulpes macrotis;Canidae;Canidae;Canis;Vulpes;NA;1.666223758;11050;2088;Omnivore;Omnivore;Same_diet;-106.273616;37.796963;37.796963;Central/North America;United States;WSNM;Robinson_2014;12;86;10234;2;430
159;0.21;0.05;Puma concolor;Lycalopex culpaeus;Felidae;Canidae;Puma;Lycalopex;NA;1.306251653;48000;13000;Carnivore;Carnivore;Same_diet;-70.355759;-39.030901;39.030901;South America;Argentina;Laguna Blanca National Park;Rodriguez-Curras_2021;4;46;3116;2;200
160;0.73;0.03;Lycalopex culpaeus;Lycalopex griseus;Canidae;Canidae;Lycalopex;Lycalopex;NA;1.181158127;13000;3990;Carnivore;Omnivore;Diff_diet;-70.355759;-39.030901;39.030901;South America;Argentina;Laguna Blanca National Park;Rodriguez-Curras_2021;4;46;3116;2;200
161;0.76;0.04;Puma concolor;Lycalopex griseus;Felidae;Canidae;Puma;Lycalopex;NA;2.48740978;48000;3990;Carnivore;Omnivore;Diff_diet;-70.355759;-39.030901;39.030901;South America;Argentina;Laguna Blanca National Park;Rodriguez-Curras_2021;4;46;3116;2;200
162;1.576036866;NA;Panthera uncia;Canis lupus;Felidae;Canidae;Panthera;Canis;0.187681178;0.493435062;47812.5;29190.755;Carnivore;Carnivore;Same_diet;90.72;48.21;48.21;Asia;Mongolia;Sa_general;Salvatori_2021;11.6;216;14267.5;NA;3186
163;0.46;0.55-0.36;Lynx pardinus;Vulpes vulpes;Felidae;Canidae;Lynx;Vulpes;0.18099855;0.299282925;10225;7580.3;Carnivore;Carnivore;Same_diet;-7.66;37.64;37.64;Europe;Portugal;Guadiana Valley Natural Park_S;Sarmento_2021;1.5;178;7210;1;20.9
164;0.73;0.51-0.99;Panthera onca;Puma concolor;Felidae;Felidae;Panthera;Puma;0.109112475;0.525098283;81150;48000;Carnivore;Carnivore;Same_diet;-52.75;-18.316667;18.316667;South America;Brazil;ENP;Sollmann_2012;4;119;NA;3.5;1320
165;0.81;0.31;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;99.580078;12.086324;12.086324;Asia;Thailand;Kuiburi National Park;Steinmetz_2013;4;25;1458;3;131
166;1;NA;Meles leucurus;Arctonyx collaris;Mustelidae;Mustelidae;Meles;Arctonyx;0.08197052;0.123820225;11884.03;10500;Omnivore;Omnivore;Same_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
167;1.61;1.53-2.25;Arctonyx collaris;Melogale moschata;Mustelidae;Mustelidae;Arctonyx;Melogale;0.137001363;2.567977748;10500;805.25;Omnivore;Omnivore;Same_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
168;0.18;-0.53;Meles leucurus;Melogale moschata;Mustelidae;Mustelidae;Meles;Melogale;0.13697885;2.691797973;11884.03;805.25;Omnivore;Omnivore;Same_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
169;1;NA;Paguma larvata;Melogale moschata;Viverridae;Mustelidae;Paguma;Melogale;0.183127127;1.675217513;4300;805.25;Omnivore;Omnivore;Same_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
170;0.38;-0.84;Prionailurus bengalensis;Melogale moschata;Felidae;Mustelidae;Prionailurus;Melogale;0.183640167;1.639710825;4150;805.25;Carnivore;Omnivore;Diff_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
171;1.63;1.72-2.10;Arctonyx collaris;Mustela kathiah;Mustelidae;Mustelidae;Arctonyx;Mustela;0.13521031;3.684166767;10500;263.74;Omnivore;Carnivore;Diff_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
172;1.07;NA;Meles leucurus;Mustela kathiah;Mustelidae;Mustelidae;Meles;Mustela;0.13521215;3.807986992;11884.03;263.74;Omnivore;Carnivore;Diff_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
173;5.61;NA;Melogale moschata;Mustela kathiah;Mustelidae;Mustelidae;Melogale;Mustela;0.13308469;1.116189019;805.25;263.74;Omnivore;Carnivore;Diff_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
174;2.15;1.42-2.88;Paguma larvata;Mustela kathiah;Viverridae;Mustelidae;Paguma;Mustela;0.17816885;2.791406532;4300;263.74;Omnivore;Carnivore;Diff_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
175;2.66;-5.46;Prionailurus bengalensis;Mustela kathiah;Felidae;Mustelidae;Prionailurus;Mustela;0.177463555;2.755899844;4150;263.74;Carnivore;Carnivore;Same_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
176;0.96;0.93-1;Arctonyx collaris;Paguma larvata;Mustelidae;Viverridae;Arctonyx;Paguma;0.17756043;0.892760234;10500;4300;Omnivore;Omnivore;Same_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
177;1.33;0.57-2.08;Meles leucurus;Paguma larvata;Mustelidae;Viverridae;Meles;Paguma;0.18058951;1.016580459;11884.03;4300;Omnivore;Omnivore;Same_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
178;0.84;0.68-1;Arctonyx collaris;Prionailurus bengalensis;Mustelidae;Felidae;Arctonyx;Prionailurus;0.181365985;0.928266923;10500;4150;Omnivore;Carnivore;Diff_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
179;3.05;1.20-5.80;Meles leucurus;Prionailurus bengalensis;Mustelidae;Felidae;Meles;Prionailurus;0.17924495;1.052087148;11884.03;4150;Omnivore;Carnivore;Diff_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
180;0.43;0.27-0.60;Paguma larvata;Prionailurus bengalensis;Viverridae;Felidae;Paguma;Prionailurus;0.14225069;0.035506688;4300;4150;Omnivore;Carnivore;Diff_diet;108.125;28.7583335;28.7583335;Asia;China;Mayanghe National Nature Reserve;Tian_2022;23;138;63963;NA;311.13
181;0.12;NA;Canis dingo;Vulpes vulpes;NA;Canidae;NA;Vulpes;NA;NA;NA;7580.3;NA;Carnivore;Diff_diet;134.237386;-28.294724;28.294724;Oceania;Australia;EDMW_2016;Wooster_2021;NA;NA;NA;NA;NA
182;0.67;NA;Canis dingo;Vulpes vulpes;NA;Canidae;NA;Vulpes;NA;NA;NA;7580.3;NA;Carnivore;Diff_diet;134.237386;-28.294724;28.294724;Oceania;Australia;EDMW_2017;Wooster_2021;NA;NA;NA;NA;NA
183;0.83;NA;Canis dingo;Vulpes vulpes;NA;Canidae;NA;Vulpes;NA;NA;NA;7580.3;NA;Carnivore;Diff_diet;134.237386;-28.294724;28.294724;Oceania;Australia;EDMW_2018;Wooster_2021;NA;NA;NA;NA;NA
184;1;NA;Leopardus geoffroyi;Conepatus chinga;Felidae;Mephitidae;Leopardus;Conepatus;0.18375468;0.162518929;4000;3400;Carnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Phocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
185;0.81;NA;Leopardus geoffroyi;Conepatus chinga;Felidae;Mephitidae;Leopardus;Conepatus;0.18375468;0.162518929;4000;3400;Carnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Plocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
186;1;NA;Leopardus geoffroyi;Conepatus chinga;Felidae;Mephitidae;Leopardus;Conepatus;0.18375468;0.162518929;4000;3400;Carnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pmocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
187;0.83;NA;Leopardus geoffroyi;Conepatus chinga;Felidae;Mephitidae;Leopardus;Conepatus;0.18375468;0.162518929;4000;3400;Carnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
188;1;NA;Lycalopex gymnocercus;Conepatus chinga;Canidae;Mephitidae;Lycalopex;Conepatus;NA;0.321657151;4690;3400;Omnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Phocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
189;1.03;NA;Lycalopex gymnocercus;Conepatus chinga;Canidae;Mephitidae;Lycalopex;Conepatus;NA;0.321657151;4690;3400;Omnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Plocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
190;1;NA;Lycalopex gymnocercus;Conepatus chinga;Canidae;Mephitidae;Lycalopex;Conepatus;NA;0.321657151;4690;3400;Omnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pmocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
191;1;NA;Lycalopex gymnocercus;Conepatus chinga;Canidae;Mephitidae;Lycalopex;Conepatus;NA;0.321657151;4690;3400;Omnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
192;0.35;0.16-0.54;Puma concolor;Conepatus chinga;Felidae;Mephitidae;Puma;Conepatus;0.18738648;2.647425579;48000;3400;Carnivore;Insectivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa;Zanon-Martinez_2021;1;720;18987;2.5;639.44
193;1;NA;Conepatus chinga;Leopardus colocolo;Mephitidae;Felidae;Conepatus;Leopardus;0.18491578;0.141970261;3400;2950;Insectivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Phocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
194;1;NA;Conepatus chinga;Leopardus colocolo;Mephitidae;Felidae;Conepatus;Leopardus;0.18491578;0.141970261;3400;2950;Insectivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Plocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
195;1;NA;Conepatus chinga;Leopardus colocolo;Mephitidae;Felidae;Conepatus;Leopardus;0.18491578;0.141970261;3400;2950;Insectivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pmocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
196;1.97;NA;Conepatus chinga;Leopardus colocolo;Mephitidae;Felidae;Conepatus;Leopardus;0.18491578;0.141970261;3400;2950;Insectivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
197;1;NA;Leopardus geoffroyi;Leopardus colocolo;Felidae;Felidae;Leopardus;Leopardus;0.07002763;0.304489191;4000;2950;Carnivore;Carnivore;Same_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Phocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
198;1;NA;Leopardus geoffroyi;Leopardus colocolo;Felidae;Felidae;Leopardus;Leopardus;0.07002763;0.304489191;4000;2950;Carnivore;Carnivore;Same_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Plocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
199;0.02;NA;Leopardus geoffroyi;Leopardus colocolo;Felidae;Felidae;Leopardus;Leopardus;0.07002763;0.304489191;4000;2950;Carnivore;Carnivore;Same_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pmocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
200;1;NA;Leopardus geoffroyi;Leopardus colocolo;Felidae;Felidae;Leopardus;Leopardus;0.07002763;0.304489191;4000;2950;Carnivore;Carnivore;Same_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
201;1;NA;Lycalopex gymnocercus;Leopardus colocolo;Canidae;Felidae;Lycalopex;Leopardus;NA;0.463627412;4690;2950;Omnivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Phocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
202;1;NA;Lycalopex gymnocercus;Leopardus colocolo;Canidae;Felidae;Lycalopex;Leopardus;NA;0.463627412;4690;2950;Omnivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Plocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
203;1;NA;Lycalopex gymnocercus;Leopardus colocolo;Canidae;Felidae;Lycalopex;Leopardus;NA;0.463627412;4690;2950;Omnivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pmocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
204;1;NA;Lycalopex gymnocercus;Leopardus colocolo;Canidae;Felidae;Lycalopex;Leopardus;NA;0.463627412;4690;2950;Omnivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
205;1.08;0.97-1.18;Puma concolor;Leopardus colocolo;Felidae;Felidae;Puma;Leopardus;0.0959591;2.789395841;48000;2950;Carnivore;Carnivore;Same_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa;Zanon-Martinez_2021;1;720;18987;2.5;639.44
206;1;NA;Lycalopex gymnocercus;Leopardus geoffroyi;Canidae;Felidae;Lycalopex;Leopardus;NA;0.159138221;4690;4000;Omnivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Phocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
207;1;NA;Lycalopex gymnocercus;Leopardus geoffroyi;Canidae;Felidae;Lycalopex;Leopardus;NA;0.159138221;4690;4000;Omnivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Plocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
208;0.87;NA;Lycalopex gymnocercus;Leopardus geoffroyi;Canidae;Felidae;Lycalopex;Leopardus;NA;0.159138221;4690;4000;Omnivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pmocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
209;1;NA;Lycalopex gymnocercus;Leopardus geoffroyi;Canidae;Felidae;Lycalopex;Leopardus;NA;0.159138221;4690;4000;Omnivore;Carnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa_Pocc;Zanon-Martinez_2021;NA;NA;NA;2.5;NA
210;0.57;0.29-0.85;Puma concolor;Leopardus geoffroyi;Felidae;Felidae;Puma;Leopardus;0.09783433;2.48490665;48000;4000;Carnivore;Carnivore;Same_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa;Zanon-Martinez_2021;1;720;18987;2.5;639.44
211;1;NA;Puma concolor;Lycalopex gymnocercus;Felidae;Canidae;Puma;Lycalopex;NA;2.325768428;48000;4690;Carnivore;Omnivore;Diff_diet;-65.666667;-37.166667;37.166667;South America;Argentina;Pampa;Zanon-Martinez_2021;1;720;18987;2.5;639.44
212;1;NA;Martes pennanti;Mustela erminea;Mustelidae;Mustelidae;Martes;Mustela;NA;3.359587037;3175;110.33;Carnivore;Carnivore;Same_diet;-134.769846;58.512993;58.512993;Central/North America;United States;Juneau Alaska_all stations;Kupferman_2021;3.12;25;4750;10.6;200
213;0.53;NA;Panthera pardus;Herpestes sanguineus;Felidae;Herpestidae;Panthera;Herpestes;NA;4.6454427;53074.995;509.8;Carnivore;Omnivore;Diff_diet;32.4;-27.52;27.52;Africa;South Africa;KZN_all;Ramesh_2017;0.78;184;4920;1.5;1101.17
214;1.5;NA;Crocuta crocuta;Herpestes sanguineus;Hyaenidae;Herpestidae;Crocuta;Herpestes;NA;4.816871513;63000;509.8;Carnivore;Omnivore;Diff_diet;32.4;-27.52;27.52;Africa;South Africa;KZN_all;Ramesh_2017;0.78;184;4920;1.5;1101.17
215;-2.71;NA;Lynx canadensis;Lynx rufus;Felidae;Felidae;Lynx;Lynx;0.06692702;0.029643492;9682.82;9400;Carnivore;Carnivore;Same_diet;-119.837494;48.944232;48.944232;Central/North America;United States;LSF;Scully_2018;50;397;27199;0.5;551
216;1;NA;Puma concolor;Lynx canadensis;Felidae;Felidae;Puma;Lynx;0.08652034;1.60084783;48000;9682.82;Carnivore;Carnivore;Same_diet;-119.837494;48.944232;48.944232;Central/North America;United States;LSF;Scully_2018;50;397;27199;0.5;551
